operation_id	api	service	method	path	endpoint_policy	authentication	authentication_scope	query_policy	body_policy	request_headers	request_media	success_status	success_shape	success_root	success_required	success_body	success_media	success_body_max_bytes	error_body	error_media	error_body_max_bytes	pagination	quota	retry	streaming	permit_class	response_identity
create_server_image	cloud	cloud	POST	/servers/{id}/actions/create_image	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	image	-	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	cost	none
create_ssh_key	cloud	security	POST	/ssh_keys	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	resource	ssh_key	ssh_key	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
create_storage_box	hetzner	storage	POST	/storage_boxes	console-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	storage_box	action,storage_box	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	cost	none
create_storage_box_snapshot	hetzner	storage	POST	/storage_boxes/{id}/snapshots	console-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	snapshot	action,snapshot	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	parent-resource
create_storage_box_subaccount	hetzner	storage	POST	/storage_boxes/{id}/subaccounts	console-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	subaccount	action,subaccount	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	parent-resource
create_volume	cloud	cloud	POST	/volumes	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	volume	action,next_actions,volume	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	cost	none
create_zone	cloud	dns	POST	/zones	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	zone	action,zone	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
create_zone_rrset	cloud	dns	POST	/zones/{id_or_name}/rrsets	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	composite	rrset	action,rrset	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
delete_certificate	cloud	security	DELETE	/certificates/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	204	empty	-	-	forbidden	forbidden	0	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_firewall	cloud	cloud	DELETE	/firewalls/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	204	empty	-	-	forbidden	forbidden	0	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_floating_ip	cloud	cloud	DELETE	/floating_ips/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	204	empty	-	-	forbidden	forbidden	0	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_image	cloud	cloud	DELETE	/images/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	204	empty	-	-	forbidden	forbidden	0	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_load_balancer	cloud	cloud	DELETE	/load_balancers/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	204	empty	-	-	forbidden	forbidden	0	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_load_balancer_service	cloud	cloud	POST	/load_balancers/{id}/actions/delete_service	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
delete_network	cloud	cloud	DELETE	/networks/{id}	cloud-v1	bearer	required-service	forbidden	forbidden	accept-json	forbidden	204	empty	-	-	forbidden	forbidden	0	required-json	application-json	8388608	none	hetzner	never	buffered	destructive	none
